Datetime,Sea pressure - decibar,Sea temperature adjusted,QC
2023-12-08 19:34:25,1538,5.152,1
2023-12-08 19:34:25,1588.3,4.824,1
2023-12-08 19:34:25,1662.7,4.459,1
2023-12-08 19:34:25,1713,4.172,1
2023-12-08 19:34:25,1737.7,4.054,1
2023-12-08 19:34:25,1813.5,3.728,1
2023-12-08 19:34:25,1862.9,3.534,1
2023-12-08 19:34:25,1887.8,3.444,1
2023-12-08 19:34:25,1963.4,3.29,1
2023-12-18 19:45:14,0.1,28.442,1
2023-12-18 19:45:14,0.7,28.445,1
2023-12-18 19:45:14,2.5,28.446,1
2023-12-18 19:45:14,4.6,28.445,1
2023-12-18 19:45:14,6.8,28.445,1
2023-12-18 19:45:14,9.1,28.449,1
2023-12-18 19:45:14,25.5,28.447,1
2023-12-18 19:45:14,45.1,27.665,1
2023-12-18 19:45:14,65,23.44,1
2023-12-18 19:45:14,85.7,21.459,1
2023-12-18 19:45:14,115.5,19.611,1
2023-12-18 19:45:14,135.5,18.683,1
2023-12-18 19:45:14,155.4,17.343,1
2023-12-18 19:45:14,175,16.495,1
2023-12-18 19:45:14,185.3,15.858,1
2023-12-18 19:45:14,213.6,15.727,1
2023-12-18 19:45:14,263.4,14.629,1
2023-12-18 19:45:14,338.2,13.442,1
2023-12-18 19:45:14,413.1,13.2,1
2023-12-18 19:45:14,462.8,12.835,1
2023-12-18 19:45:14,487.6,12.691,1
2023-12-18 19:45:14,563.2,12.304,1
2023-12-18 19:45:14,613,11.568,1
2023-12-18 19:45:14,662.7,11.185,1
2023-12-18 19:45:14,737.5,10.793,1
2023-12-18 19:45:14,787.9,10.191,1
2023-12-18 19:45:14,838.2,9.657,1
2023-12-18 19:45:14,863,9.415,1
2023-12-18 19:45:14,937.9,8.788,1
2023-12-18 19:45:14,987.8,8.437,1
2023-12-18 19:45:14,1013,8.285,1
2023-12-18 19:45:14,1062.7,7.923,1
2023-12-18 19:45:14,1162.8,7.208,1
2023-12-18 19:45:14,1187.6,7.089,1
2023-12-18 19:45:14,1237.8,6.811,1
2023-12-18 19:45:14,1313.3,6.448,1
2023-12-18 19:45:14,1363.1,6.227,1
2023-12-18 19:45:14,1413,5.923,1
2023-12-18 19:45:14,1462.5,5.686,1
2023-12-18 19:45:14,1487.7,5.497,1
2023-12-18 19:45:14,1562.8,5.009,1
2023-12-18 19:45:14,1637.6,4.597,1
2023-12-18 19:45:14,1662.6,4.497,1
2023-12-18 19:45:14,1712.9,4.227,1
2023-12-18 19:45:14,1763,3.982,1
2023-12-18 19:45:14,1812.4,3.77,1
2023-12-18 19:45:14,1887.9,3.522,1
2023-12-18 19:45:14,1938.1,3.396,1
2023-12-18 19:45:14,1963.1,3.305,1
2023-12-18 19:45:14,2027.5,3.1,1
2023-12-28 19:25:55,0.2,28.353,1
2023-12-28 19:25:55,0.9,28.354,1
2023-12-28 19:25:55,3,28.37,1
2023-12-28 19:25:55,6,28.366,1
2023-12-28 19:25:55,8,28.368,1
2023-12-28 19:25:55,9,28.367,1
2023-12-28 19:25:55,15.6,27.979,1
2023-12-28 19:25:55,45.6,27.38,1
2023-12-28 19:25:55,65.4,22.235,1
2023-12-28 19:25:55,75,21.109,1
2023-12-28 19:25:55,105.3,20.506,1
2023-12-28 19:25:55,115.6,20.374,1
2023-12-28 19:25:55,145.3,19.358,1
2023-12-28 19:25:55,165.1,18.54,1
2023-12-28 19:25:55,195.2,17.134,1
2023-12-28 19:25:55,212.8,17.131,1
2023-12-28 19:25:55,263,15.241,1
2023-12-28 19:25:55,312.8,14.195,1
2023-12-28 19:25:55,388.1,13.099,1
2023-12-28 19:25:55,413,13.116,1
2023-12-28 19:25:55,487.9,12.505,1
2023-12-28 19:25:55,513.1,12.489,1
2023-12-28 19:25:55,588.1,11.782,1
2023-12-28 19:25:55,638.2,11.422,1
2023-12-28 19:25:55,712.7,10.691,1
2023-12-28 19:25:55,762.8,10.473,1
2023-12-28 19:25:55,812.9,9.942,1
2023-12-28 19:25:55,837.9,9.841,1
2023-12-28 19:25:55,913,9.107,1
2023-12-28 19:25:55,938,8.804,1
2023-12-28 19:25:55,988,8.377,1
2023-12-28 19:25:55,1038,8.038,1
2023-12-28 19:25:55,1088,7.715,1
2023-12-28 19:25:55,1162.6,7.274,1
2023-12-28 19:25:55,1212.8,7.032,1
2023-12-28 19:25:55,1263.2,6.75,1
2023-12-28 19:25:55,1337.8,6.437,1
2023-12-28 19:25:55,1387.7,6.149,1
2023-12-28 19:25:55,1437.6,5.826,1
2023-12-28 19:25:55,1487.9,5.512,1
2023-12-28 19:25:55,1513.6,5.37,1
2023-12-28 19:25:55,1563.1,5.022,1
2023-12-28 19:25:55,1638.1,4.563,1
2023-12-28 19:25:55,1687.8,4.242,1
2023-12-28 19:25:55,1712.7,4.145,1
2023-12-28 19:25:55,1762.8,3.909,1
2023-12-28 19:25:55,1812.6,3.697,1
2023-12-28 19:25:55,1887.7,3.448,1
2023-12-28 19:25:55,1913.1,3.389,1
2023-12-28 19:25:55,1979.2,3.202,1
2024-01-07 19:18:33,0.3,27.673,1
2024-01-07 19:18:33,2,27.678,1
2024-01-07 19:18:33,3.9,27.68,1
2024-01-07 19:18:33,4.9,27.674,1
2024-01-07 19:18:33,7.7,27.679,1
2024-01-07 19:18:33,15.1,27.655,1
2024-01-07 19:18:33,25.3,27.635,1
2024-01-07 19:18:33,56.1,27.618,1
